,Price,Adj Close,Close,High,Low,Open,Volume
0,2018-01-02,79.63,85.95,86.31,85.5,86.13,22483800
1,2018-01-03,80.0,86.35,86.51,85.97,86.06,26061400
2,2018-01-04,80.71,87.11,87.66,86.57,86.59,21912000
3,2018-01-05,81.71,88.19,88.41,87.43,87.66,23407100
4,2018-01-08,81.79,88.28,88.58,87.6,88.2,22113000
5,2018-01-09,81.74,88.22,88.73,87.86,88.65,19484300
6,2018-01-10,81.37,87.82,88.19,87.41,87.86,18652200
7,2018-01-11,81.61,88.08,88.13,87.24,88.13,17808900
8,2018-01-12,83.02,89.6,89.78,88.45,88.67,24271500
9,2018-01-16,81.86,88.35,90.79,88.01,90.1,36599700
10,2018-01-17,83.52,90.14,90.28,88.75,89.08,25621200
11,2018-01-18,83.48,90.1,90.67,89.66,89.8,24159700
12,2018-01-19,83.39,90.0,90.61,89.66,90.14,36875000
13,2018-01-22,84.88,91.61,91.62,89.74,90.0,23601600
14,2018-01-23,85.15,91.9,92.3,91.54,91.9,23412800
15,2018-01-24,85.07,91.82,93.43,91.58,92.55,33277500
16,2018-01-25,85.54,92.33,93.24,91.93,92.47,26383200
17,2018-01-26,87.15,94.06,94.06,92.58,93.12,29172200
18,2018-01-29,87.02,93.92,95.45,93.72,95.14,31569900
19,2018-01-30,85.92,92.74,93.66,92.1,93.3,38635100
20,2018-01-31,88.03,95.01,95.4,93.51,93.75,48756300
21,2018-02-01,87.33,94.26,96.07,93.58,94.79,47227900
22,2018-02-02,85.04,91.78,93.97,91.5,93.64,47867800
23,2018-02-05,81.53,88.0,93.24,88.0,90.56,51031500
24,2018-02-06,84.62,91.33,91.48,85.25,86.89,67998600
25,2018-02-07,83.02,89.61,91.77,89.2,90.49,41107600
26,2018-02-08,78.76,85.01,89.88,84.76,89.71,55628700
27,2018-02-09,81.7,88.18,88.93,83.83,86.3,63499100
28,2018-02-12,82.58,89.13,89.78,87.93,88.74,35720300
29,2018-02-13,83.23,89.83,90.0,87.8,88.93,26407700
30,2018-02-14,84.53,90.81,90.99,88.41,88.51,34960900
31,2018-02-15,86.25,92.66,92.72,90.62,91.21,27823900
32,2018-02-16,85.64,92.0,93.5,91.8,92.45,30596900
33,2018-02-20,86.31,92.72,93.06,91.01,91.48,30911700
34,2018-02-21,85.16,91.49,93.36,91.49,92.98,26922500
35,2018-02-22,85.39,91.73,92.73,91.36,92.05,24392800
36,2018-02-23,87.56,94.06,94.07,92.36,93.6,26329200
37,2018-02-26,88.82,95.42,95.45,94.25,94.4,30199800
38,2018-02-27,87.69,94.2,95.84,94.2,95.74,25869100
39,2018-02-28,87.29,93.77,95.71,93.63,94.84,31167300
40,2018-03-01,86.43,92.85,94.57,91.84,93.99,37135600
41,2018-03-02,86.62,93.05,93.15,90.86,91.58,32830400
42,2018-03-05,87.17,93.64,94.27,92.26,92.34,23901600
43,2018-03-06,86.87,93.32,94.49,92.94,94.34,22175800
44,2018-03-07,87.37,93.86,93.94,92.43,93.16,26716100
45,2018-03-08,87.9,94.43,95.1,93.77,94.27,25887800
